,session_id,eda,timestamp,hr,Stressed
95,session_1,0.0,2022-11-20 22:52:18,134.35,True
96,session_1,0.0,2022-11-20 22:52:18,132.98,True
97,session_1,0.0,2022-11-20 22:52:18,131.53,True
98,session_1,0.0,2022-11-20 22:52:18,130.05,True
99,session_1,0.0,2022-11-20 22:52:18,128.57,True
100,session_1,0.0,2022-11-20 22:52:18,127.28,True
101,session_1,0.0,2022-11-20 22:52:18,125.93,True
102,session_1,0.0,2022-11-20 22:52:18,124.63,True
103,session_1,0.0,2022-11-20 22:52:18,123.35,True
104,session_1,0.0,2022-11-20 22:52:18,122.1,True
105,session_1,0.0,2022-11-20 22:52:18,120.65,True
106,session_1,0.0,2022-11-20 22:52:18,119.17,True
107,session_1,0.0,2022-11-20 22:52:18,117.77,True
108,session_1,0.0,2022-11-20 22:52:18,116.42,True
109,session_1,0.0,2022-11-20 22:52:18,115.08,True
110,session_1,0.0,2022-11-20 22:52:18,113.8,True
111,session_1,0.0,2022-11-20 22:52:18,112.52,True
112,session_1,0.0,2022-11-20 22:52:18,111.25,True
113,session_1,0.0,2022-11-20 22:52:18,110.02,True
114,session_1,0.0,2022-11-20 22:52:18,108.8,False
115,session_1,0.0,2022-11-20 22:52:18,107.53,False
116,session_1,0.0,2022-11-20 22:52:18,106.28,False
117,session_1,0.0,2022-11-20 22:52:18,105.03,False
118,session_1,0.0,2022-11-20 22:52:18,103.8,False
119,session_1,0.0,2022-11-20 22:52:18,102.55,False
120,session_1,0.0,2022-11-20 22:52:18,101.22,False
121,session_1,0.0,2022-11-20 22:52:18,99.88,False
122,session_1,0.0,2022-11-20 22:52:18,98.53,False
123,session_1,0.0,2022-11-20 22:52:18,97.13,False
124,session_1,0.0,2022-11-20 22:52:18,95.72,False
125,session_1,0.0,2022-11-20 22:52:18,94.3,False
126,session_1,0.0,2022-11-20 22:52:18,92.9,False
127,session_1,0.0,2022-11-20 22:52:18,91.45,False
128,session_1,0.0,2022-11-20 22:52:18,90.08,False
129,session_1,0.0,2022-11-20 22:52:18,88.72,False
130,session_1,0.0,2022-11-20 22:52:18,87.02,False
131,session_1,0.0,2022-11-20 22:52:18,85.3,False
132,session_1,0.0,2022-11-20 22:52:18,83.78,False
133,session_1,0.0,2022-11-20 22:52:18,82.93,False
134,session_1,0.0,2022-11-20 22:52:18,82.73,False
135,session_1,0.0,2022-11-20 22:52:18,82.53,False
136,session_1,0.0,2022-11-20 22:52:18,82.52,False
137,session_1,0.0,2022-11-20 22:52:18,82.5,False
138,session_1,0.0,2022-11-20 22:52:18,82.47,False
139,session_1,0.0,2022-11-20 22:52:18,82.48,False
140,session_1,0.0,2022-11-20 22:52:18,82.45,False
141,session_1,0.0,2022-11-20 22:52:18,82.45,False
142,session_1,0.0,2022-11-20 22:52:18,82.52,False
143,session_1,0.0,2022-11-20 22:52:18,82.62,False
144,session_1,0.0,2022-11-20 22:52:18,82.72,False
145,session_1,0.0,2022-11-20 22:52:18,82.85,False
146,session_1,0.0,2022-11-20 22:52:18,82.98,False
147,session_1,0.0,2022-11-20 22:52:18,83.15,False
148,session_1,0.0,2022-11-20 22:52:18,83.33,False
149,session_1,0.0,2022-11-20 22:52:18,83.52,False
150,session_1,0.0,2022-11-20 22:52:18,83.62,False
151,session_1,0.0,2022-11-20 22:52:18,83.68,False
152,session_1,0.0,2022-11-20 22:52:18,83.73,False
153,session_1,0.0,2022-11-20 22:52:18,83.77,False
154,session_1,0.0,2022-11-20 22:52:18,83.85,False
155,session_1,0.0,2022-11-20 22:52:18,83.92,False
156,session_1,0.0,2022-11-20 22:52:18,83.97,False
157,session_1,0.0,2022-11-20 22:52:18,84.03,False
158,session_1,0.0,2022-11-20 22:52:18,84.03,False
159,session_1,0.0,2022-11-20 22:52:18,83.98,False
160,session_1,0.0,2022-11-20 22:52:18,83.73,False
161,session_1,0.0,2022-11-20 22:52:18,83.48,False
162,session_1,0.0,2022-11-20 22:52:18,83.22,False
163,session_1,0.0,2022-11-20 22:52:18,82.97,False
164,session_1,0.0,2022-11-20 22:52:18,82.7,False
165,session_1,0.0,2022-11-20 22:52:18,82.43,False
166,session_1,0.0,2022-11-20 22:52:18,82.25,False
167,session_1,0.0,2022-11-20 22:52:18,82.02,False
168,session_1,0.0,2022-11-20 22:52:18,81.78,False
169,session_1,0.0,2022-11-20 22:52:18,81.65,False
170,session_1,0.0,2022-11-20 22:52:18,81.48,False
171,session_1,0.0,2022-11-20 22:52:18,81.28,False
172,session_1,0.0,2022-11-20 22:52:18,81.08,False
173,session_1,0.0,2022-11-20 22:52:18,80.87,False
174,session_1,0.0,2022-11-20 22:52:18,80.62,False
175,session_1,0.0,2022-11-20 22:52:18,80.42,False
176,session_1,0.0,2022-11-20 22:52:18,80.22,False
177,session_1,0.0,2022-11-20 22:52:18,79.98,False
178,session_1,0.0,2022-11-20 22:52:18,79.73,False
179,session_1,0.0,2022-11-20 22:52:18,79.48,False
180,session_1,0.0,2022-11-20 22:52:18,79.27,False
181,session_1,0.0,2022-11-20 22:52:18,79.05,False
182,session_1,0.0,2022-11-20 22:52:18,78.8,False
183,session_1,0.0,2022-11-20 22:52:18,78.45,False
184,session_1,0.0,2022-11-20 22:52:18,78.08,False
185,session_1,0.0,2022-11-20 22:52:18,77.73,False
186,session_1,0.0,2022-11-20 22:52:18,77.37,False
187,session_1,0.0,2022-11-20 22:52:18,77.0,False
188,session_1,0.0,2022-11-20 22:52:18,76.58,False
189,session_1,0.0,2022-11-20 22:52:18,76.18,False
190,session_1,0.0,2022-11-20 22:52:18,75.88,False
191,session_1,0.0,2022-11-20 22:52:18,75.63,False
192,session_1,0.0,2022-11-20 22:52:18,75.42,False
193,session_1,0.0,2022-11-20 22:52:18,75.3,False
194,session_1,0.0,2022-11-20 22:52:18,75.27,False
195,session_1,0.0,2022-11-20 22:52:18,75.23,False
196,session_1,0.0,2022-11-20 22:52:18,75.18,False
197,session_1,0.0,2022-11-20 22:52:18,75.08,False
198,session_1,0.0,2022-11-20 22:52:18,74.83,False
199,session_1,0.0,2022-11-20 22:52:18,74.55,False
200,session_1,0.0,2022-11-20 22:52:18,74.28,False
201,session_1,0.0,2022-11-20 22:52:18,74.07,False
202,session_1,0.0,2022-11-20 22:52:18,73.8,False
203,session_1,0.0,2022-11-20 22:52:18,73.52,False
204,session_1,0.0,2022-11-20 22:52:18,73.53,False
205,session_1,0.0,2022-11-20 22:52:18,73.57,False
206,session_1,0.0,2022-11-20 22:52:18,73.6,False
207,session_1,0.0,2022-11-20 22:52:18,73.55,False
208,session_1,0.0,2022-11-20 22:52:18,73.52,False
209,session_1,0.0,2022-11-20 22:52:18,73.47,False
210,session_1,0.0,2022-11-20 22:52:18,73.45,False
211,session_1,0.0,2022-11-20 22:52:18,73.33,False
212,session_1,0.0,2022-11-20 22:52:18,73.25,False
213,session_1,0.0,2022-11-20 22:52:18,73.18,False
214,session_1,0.0,2022-11-20 22:52:18,73.12,False
215,session_1,0.0,2022-11-20 22:52:18,73.13,False
216,session_1,0.0,2022-11-20 22:52:18,73.18,False
217,session_1,0.0,2022-11-20 22:52:18,73.18,False
218,session_1,0.0,2022-11-20 22:52:18,73.25,False
219,session_1,0.0,2022-11-20 22:52:18,73.38,False
220,session_1,0.0,2022-11-20 22:52:18,73.5,False
221,session_1,0.0,2022-11-20 22:52:18,73.62,False
222,session_1,0.0,2022-11-20 22:52:18,73.7,False
223,session_1,0.0,2022-11-20 22:52:18,73.65,False
224,session_1,0.0,2022-11-20 22:52:18,73.62,False
225,session_1,0.0,2022-11-20 22:52:18,73.58,False
226,session_1,0.0,2022-11-20 22:52:18,73.5,False
227,session_1,0.0,2022-11-20 22:52:18,73.45,False
228,session_1,0.0,2022-11-20 22:52:18,73.32,False
229,session_1,0.0,2022-11-20 22:52:18,73.07,False
230,session_1,0.0,2022-11-20 22:52:18,72.93,False
231,session_1,0.0,2022-11-20 22:52:18,72.83,False
232,session_1,0.0,2022-11-20 22:52:18,72.72,False
233,session_1,0.0,2022-11-20 22:52:18,72.53,False
234,session_1,0.0,2022-11-20 22:52:18,72.4,False
235,session_1,0.0,2022-11-20 22:52:18,72.28,False
